name;rating;convenience;security;functionality;comment
Свиноферма 32;4.8;4;5;3;Это здание построено из стандартных строительных материалов.
Плантация 92;3.7;5;3;5;Это здание построено из стандартных строительных материалов.
Лежбище 58;3.1;2;4;5;Это здание является примером функционального дизайна.
Муравейник 68;0.8;1;3;2;Это здание имеет стандартную конструкцию.
Осатаник 61;3.5;5;3;2;Это здание имеет стандартную конструкцию.
Логово 16;2.5;1;5;5;Мне нравится дизайн этого здания.
Виадук 2;0.5;2;5;5;Это здание является примером функционального дизайна.
Свиноферма 32;2.4;4;3;3;Это здание представляет собой типичный образец современной архитектуры.
Почта 7;3.9;1;2;3;Это здание представляет собой типичный образец современной архитектуры.
Паутинник 26;0.6;5;5;2;Это здание представляет собой типичный образец современной архитектуры.
Муравейник 77;0.2;2;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Банк 74;2.3;1;2;2;Это здание не имеет особых архитектурных особенностей.
Плантация 92;1.8;5;5;5;Это здание является примером функционального дизайна.
Театр 68;0.5;2;3;2;Это здание имеет стандартную конструкцию.
Петля 6;1.5;2;1;2;Это здание является примером функционального дизайна.
Пасека 63;2.9;3;2;4;Мне нравится дизайн этого здания.
Шмелиное гнездо 23;3.6;5;4;1;Это здание не имеет особых архитектурных особенностей.
Замок 81;0.2;2;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Фабрика 28;4.0;1;1;3;Это здание не имеет особых архитектурных особенностей.
Бункер 97;0.5;2;4;3;Это здание является примером функционального дизайна.
Лежбище 58;2.3;4;3;1;Это здание является примером функционального дизайна.
Кошара 99;0.3;1;3;1;Это великолепное здание!
Кошара 99;3.0;5;1;1;Это здание представляет собой типичный образец современной архитектуры.
Путепровод 8;4.7;3;1;3;Это здание очень функционально.
Утятник 20;0.7;4;1;2;У этого здания отличная архитектура.
Библиотека 51;2.2;1;5;2;Это здание имеет стандартную конструкцию.
Кубло 25;2.3;4;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ферма 26;0.6;3;2;3;Это здание построено из стандартных строительных материалов.
Муравейник 77;0.1;5;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Цирк 69;4.2;3;3;4;У этого здания отличная архитектура.
Магазин 19;4.1;2;5;5;Это здание имеет стандартную конструкцию.
